date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:17:42	37045/37045	---M--	200	added ('OK')	application/javascript	etag:%221a03a3-90b5-56d16ea8f786f%22	http://limpidthemesdemo.com/Themeforest/html/Pathshala/Pathshala-HTML/dashboard/assets/js/bootstrap.min.js	C:/My%20Web%20Sites/school%20portal%20template/limpidthemesdemo.com/Themeforest/html/Pathshala/Pathshala-HTML/dashboard/assets/js/bootstrap.min.js	(from http://limpidthemesdemo.com/Themeforest/html/Pathshala/Pathshala-HTML/dashboard/admin-dashboard.html)
17:17:43	86600/86600	---M--	200	added ('OK')	application/javascript	etag:%221a03a4-15248-56d16eab48100%22	http://limpidthemesdemo.com/Themeforest/html/Pathshala/Pathshala-HTML/dashboard/assets/js/jQuery_v3_2_0.min.js	C:/My%20Web%20Sites/school%20portal%20template/limpidthemesdemo.com/Themeforest/html/Pathshala/Pathshala-HTML/dashboard/assets/js/jQuery_v3_2_0.min.js	(from http://limpidthemesdemo.com/Themeforest/html/Pathshala/Pathshala-HTML/dashboard/admin-dashboard.html)
17:17:43	42766/42766	---M--	200	added ('OK')	application/javascript	etag:%221a03ab-a70e-56d16eb38f39c%22	http://limpidthemesdemo.com/Themeforest/html/Pathshala/Pathshala-HTML/dashboard/assets/plugins/owl.carousel.min.js	C:/My%20Web%20Sites/school%20portal%20template/limpidthemesdemo.com/Themeforest/html/Pathshala/Pathshala-HTML/dashboard/assets/plugins/owl.carousel.min.js	(from http://limpidthemesdemo.com/Themeforest/html/Pathshala/Pathshala-HTML/dashboard/admin-dashboard.html)
17:17:46	11408/11408	---M--	200	added ('OK')	application/javascript	etag:%221a03a9-2c90-56d16eb177935%22	http://limpidthemesdemo.com/Themeforest/html/Pathshala/Pathshala-HTML/dashboard/assets/plugins/dataTables.responsive.min.js	C:/My%20Web%20Sites/school%20portal%20template/limpidthemesdemo.com/Themeforest/html/Pathshala/Pathshala-HTML/dashboard/assets/plugins/dataTables.responsive.min.js	(from http://limpidthemesdemo.com/Themeforest/html/Pathshala/Pathshala-HTML/dashboard/admin-dashboard.html)
17:17:47	4677/4677	---M--	200	added ('OK')	application/javascript	etag:%221a03a5-1245-56d16eab41788%22	http://limpidthemesdemo.com/Themeforest/html/Pathshala/Pathshala-HTML/dashboard/assets/js/js.js	C:/My%20Web%20Sites/school%20portal%20template/limpidthemesdemo.com/Themeforest/html/Pathshala/Pathshala-HTML/dashboard/assets/js/js.js	(from http://limpidthemesdemo.com/Themeforest/html/Pathshala/Pathshala-HTML/dashboard/admin-dashboard.html)
17:17:48	1699/1699	---M-Z	404	error ('Not%20Found')	text/html	date:Sun,%2005%20May%202019%2016:17:48%20GMT	http://limpidthemesdemo.com/Themeforest/html/Pathshala/Pathshala-HTML/dashboard/assets/fonts/glyphicons-halflings-regular.eot	C:/My%20Web%20Sites/school%20portal%20template/limpidthemesdemo.com/Themeforest/html/Pathshala/Pathshala-HTML/dashboard/assets/fonts/glyphicons-halflings-regular.eot	(from http://limpidthemesdemo.com/Themeforest/html/Pathshala/Pathshala-HTML/dashboard/assets/css/bootstrap.min.css)
17:17:48	1699/1699	---M-Z	404	error ('Not%20Found')	text/html	date:Sun,%2005%20May%202019%2016:17:48%20GMT	http://limpidthemesdemo.com/Themeforest/html/Pathshala/Pathshala-HTML/dashboard/assets/fonts/glyphicons-halflings-regular.eot?	C:/My%20Web%20Sites/school%20portal%20template/limpidthemesdemo.com/Themeforest/html/Pathshala/Pathshala-HTML/dashboard/assets/fonts/glyphicons-halflings-regulard41d.eot	(from http://limpidthemesdemo.com/Themeforest/html/Pathshala/Pathshala-HTML/dashboard/assets/css/bootstrap.min.css)
17:17:48	1699/1699	---M-Z	404	error ('Not%20Found')	text/html	date:Sun,%2005%20May%202019%2016:17:49%20GMT	http://limpidthemesdemo.com/Themeforest/html/Pathshala/Pathshala-HTML/dashboard/assets/fonts/glyphicons-halflings-regular.woff2	C:/My%20Web%20Sites/school%20portal%20template/limpidthemesdemo.com/Themeforest/html/Pathshala/Pathshala-HTML/dashboard/assets/fonts/glyphicons-halflings-regular.woff2	(from http://limpidthemesdemo.com/Themeforest/html/Pathshala/Pathshala-HTML/dashboard/assets/css/bootstrap.min.css)
17:17:49	1699/1699	---M-Z	404	error ('Not%20Found')	text/html	date:Sun,%2005%20May%202019%2016:17:49%20GMT	http://limpidthemesdemo.com/Themeforest/html/Pathshala/Pathshala-HTML/dashboard/assets/fonts/glyphicons-halflings-regular.woff	C:/My%20Web%20Sites/school%20portal%20template/limpidthemesdemo.com/Themeforest/html/Pathshala/Pathshala-HTML/dashboard/assets/fonts/glyphicons-halflings-regular.woff	(from http://limpidthemesdemo.com/Themeforest/html/Pathshala/Pathshala-HTML/dashboard/assets/css/bootstrap.min.css)
17:17:49	1699/1699	---M-Z	404	error ('Not%20Found')	text/html	date:Sun,%2005%20May%202019%2016:17:49%20GMT	http://limpidthemesdemo.com/Themeforest/html/Pathshala/Pathshala-HTML/dashboard/assets/fonts/glyphicons-halflings-regular.ttf	C:/My%20Web%20Sites/school%20portal%20template/limpidthemesdemo.com/Themeforest/html/Pathshala/Pathshala-HTML/dashboard/assets/fonts/glyphicons-halflings-regular.ttf	(from http://limpidthemesdemo.com/Themeforest/html/Pathshala/Pathshala-HTML/dashboard/assets/css/bootstrap.min.css)
17:17:50	1699/1699	---M-Z	404	error ('Not%20Found')	text/html	date:Sun,%2005%20May%202019%2016:17:50%20GMT	http://limpidthemesdemo.com/Themeforest/html/Pathshala/Pathshala-HTML/dashboard/assets/fonts/glyphicons-halflings-regular.svg	C:/My%20Web%20Sites/school%20portal%20template/limpidthemesdemo.com/Themeforest/html/Pathshala/Pathshala-HTML/dashboard/assets/fonts/glyphicons-halflings-regular.svg	(from http://limpidthemesdemo.com/Themeforest/html/Pathshala/Pathshala-HTML/dashboard/assets/css/bootstrap.min.css)
17:17:50	1699/1699	---M-Z	404	error ('Not%20Found')	text/html	date:Sun,%2005%20May%202019%2016:17:50%20GMT	http://limpidthemesdemo.com/Themeforest/html/Pathshala/Pathshala-HTML/dashboard/assets/css/owl.video.play.png	C:/My%20Web%20Sites/school%20portal%20template/limpidthemesdemo.com/Themeforest/html/Pathshala/Pathshala-HTML/dashboard/assets/css/owl.video.play.png	(from http://limpidthemesdemo.com/Themeforest/html/Pathshala/Pathshala-HTML/dashboard/assets/css/owl.carousel.min.css)
17:17:56	83268/83268	---M--	200	added ('OK')	application/javascript	etag:%221a03aa-14544-56d16eb2d7244%22	http://limpidthemesdemo.com/Themeforest/html/Pathshala/Pathshala-HTML/dashboard/assets/plugins/jquery.dataTables.min.js	C:/My%20Web%20Sites/school%20portal%20template/limpidthemesdemo.com/Themeforest/html/Pathshala/Pathshala-HTML/dashboard/assets/plugins/jquery.dataTables.min.js	(from http://limpidthemesdemo.com/Themeforest/html/Pathshala/Pathshala-HTML/dashboard/admin-dashboard.html)
